N,P,K,temperature,humidity,ph,rainfall,crop
36.5,75.0,19.4,20.49,18.96,5.77,76.13,Kidneybeans
88.1,49.0,15.1,20.94,65.35,5.91,77.53,Maize
89.5,37.1,41.0,21.72,83.89,6.29,222.68,Rice
98.7,85.7,46.2,28.27,77.83,5.5,93.81,Banana
133.9,44.1,22.9,25.76,81.23,7.48,100.25,Cotton
39.5,73.5,23.5,17.92,22.06,5.74,114.28,Kidneybeans
88.2,40.3,36.4,20.1,83.51,6.59,227.07,Rice
103.1,21.8,33.1,24.19,54.49,6.61,133.48,Coffee
90.3,19.9,29.6,26.8,54.12,6.85,111.9,Coffee
86.2,23.8,30.1,24.29,56.33,6.1,137.29,Coffee
95.9,50.2,35.1,20.71,86.64,6.01,199.3,Rice
26.6,62.4,24.8,16.93,18.4,5.74,126.5,Kidneybeans
90.1,39.0,23.8,25.85,55.58,6.79,66.44,Maize
78.0,39.9,18.7,21.73,71.55,6.68,98.47,Maize
44.8,63.4,76.7,19.14,18.96,6.19,67.2,Chickpea
45.2,75.1,83.2,19.8,17.27,6.48,78.5,Chickpea
42.7,66.5,77.9,19.7,14.7,8.67,69.42,Chickpea
23.6,65.5,82.5,17.21,14.48,6.93,88.25,Chickpea
86.3,58.9,15.7,18.51,60.64,6.11,72.35,Maize
115.8,11.7,49.1,26.7,88.96,6.69,57.18,Watermelon
94.6,55.4,37.6,21.2,86.69,6.93,246.81,Rice
32.2,65.1,15.1,21.51,21.21,5.83,133.92,Kidneybeans
90.6,27.6,48.2,25.66,80.51,6.04,54.41,Watermelon
98.4,20.7,50.6,26.23,82.8,6.56,41.76,Watermelon
108.4,34.7,25.5,23.48,64.41,6.34,126.59,Coffee
117.5,12.7,53.7,26.29,82.48,6.04,42.04,Watermelon
103.2,49.1,24.1,23.59,77.96,6.29,67.57,Cotton
115.6,24.0,29.6,23.38,63.42,6.99,132.02,Coffee
81.1,30.7,25.1,26.81,67.87,6.52,158.2,Coffee
136.4,55.5,23.9,22.8,77.84,6.58,78.85,Cotton
79.7,35.3,39.7,20.39,81.19,6.12,257.91,Rice
95.4,33.9,31.1,27.17,64.21,6.14,176.23,Coffee
139.3,51.1,22.2,25.91,78.77,7.6,81.73,Cotton
24.9,79.5,20.4,17.48,22.26,5.61,141.38,Kidneybeans
101.8,70.0,46.2,27.67,81.75,5.92,111.92,Banana
112.4,77.8,48.1,29.19,75.72,6.38,97.7,Banana
39.6,58.8,79.4,18.85,14.5,8.46,84.11,Chickpea
70.2,56.0,15.4,26.12,64.23,6.56,92.97,Maize
117.2,18.6,51.6,26.71,80.99,6.23,54.18,Watermelon
96.4,20.7,52.0,26.13,80.52,6.86,49.17,Watermelon
39.6,78.5,83.7,19.3,18.73,7.83,67.81,Chickpea
36.2,78.9,23.8,21.65,19.66,5.61,146.7,Kidneybeans
82.0,36.1,21.3,26.56,67.03,6.78,104.21,Maize
39.4,79.4,83.5,17.07,19.39,8.17,83.41,Chickpea
90.2,38.2,23.3,25.04,69.17,5.84,75.16,Maize
103.2,27.4,32.8,26.52,66.69,6.07,177.28,Coffee
35.4,75.6,22.6,16.69,18.53,5.78,93.15,Kidneybeans
122.0,38.8,22.3,24.4,82.31,7.54,108.77,Cotton
46.7,57.0,82.3,17.56,19.15,8.28,76.22,Chickpea
105.1,87.7,47.5,26.62,78.34,5.53,100.23,Banana
110.7,82.8,51.5,29.45,79.4,6.4,112.52,Banana
98.3,22.9,33.7,24.22,69.33,7.15,132.29,Coffee
114.3,14.9,47.0,25.27,83.86,6.92,55.24,Watermelon
98.2,70.8,49.2,29.48,84.83,6.14,94.85,Banana
60.4,45.4,19.8,18.17,60.2,6.71,66.86,Maize
118.5,25.2,29.5,24.39,69.18,6.17,162.18,Coffee
38.9,71.3,20.1,15.77,21.29,5.65,114.64,Kidneybeans
63.1,59.4,44.9,24.89,85.36,6.31,277.66,Rice
85.8,49.3,38.6,26.91,86.06,6.24,192.21,Rice
29.4,67.2,23.2,22.39,20.86,5.64,92.63,Kidneybeans
80.1,49.4,39.9,21.37,87.22,6.28,182.92,Rice
85.2,29.4,26.0,26.12,57.12,6.95,131.03,Coffee
23.3,71.3,23.5,16.81,23.61,5.78,134.09,Kidneybeans
42.3,73.4,80.2,17.21,16.23,8.57,77.53,Chickpea
46.3,73.5,75.1,17.75,15.29,6.69,67.43,Chickpea
60.8,37.1,24.7,20.66,70.38,6.55,79.1,Maize
85.6,56.7,19.5,22.64,64.78,6.6,66.98,Maize
18.7,65.4,18.6,18.68,22.08,5.52,63.12,Kidneybeans
117.4,33.8,26.7,27.37,64.75,6.3,116.06,Coffee
26.6,60.3,15.8,17.33,18.17,5.75,98.38,Kidneybeans
48.7,68.1,78.0,17.23,17.0,8.2,81.21,Chickpea
86.7,29.2,26.8,24.18,59.89,7.1,129.05,Coffee
65.2,58.9,41.1,21.6,86.72,6.62,222.98,Rice
65.1,38.8,36.4,24.49,81.82,6.35,287.61,Rice
29.9,68.7,16.6,16.05,21.28,5.86,90.96,Kidneybeans
94.5,58.7,36.5,26.49,84.92,6.26,235.1,Rice
24.8,71.1,20.0,16.74,23.15,5.77,135.41,Kidneybeans
91.2,92.0,48.1,25.64,79.68,6.1,90.93,Banana
117.3,49.9,15.8,25.76,82.55,7.17,101.42,Cotton
115.2,85.4,51.4,25.14,83.29,6.29,97.77,Banana
108.4,84.6,50.5,28.2,77.59,5.58,93.58,Banana
136.4,54.0,21.8,23.2,76.84,7.51,83.71,Cotton
28.1,62.2,81.6,19.91,17.62,6.12,62.27,Chickpea
28.9,64.6,20.0,21.58,23.75,5.59,139.76,Kidneybeans
103.9,85.8,49.5,25.94,80.08,6.03,114.32,Banana
99.3,86.6,51.7,26.43,79.6,5.69,96.31,Banana
28.1,79.2,80.6,18.04,17.48,6.3,73.32,Chickpea
94.2,47.3,17.5,25.84,63.91,6.42,77.96,Maize
36.8,72.6,20.3,16.04,21.63,5.55,90.35,Kidneybeans
37.9,68.1,16.4,21.43,19.76,5.71,122.8,Kidneybeans
92.3,42.6,36.0,24.79,84.4,6.12,239.42,Rice
40.6,56.7,76.7,19.57,15.36,8.33,68.38,Chickpea
120.0,51.1,20.1,22.48,78.12,7.6,103.07,Cotton
32.9,55.7,79.8,18.99,14.71,6.74,71.94,Chickpea
112.9,81.2,52.9,28.09,76.13,5.66,103.11,Banana
97.2,11.9,53.9,24.12,89.14,6.83,45.95,Watermelon
97.5,71.6,51.9,27.86,79.05,5.86,96.5,Banana
68.1,39.1,36.6,25.7,86.65,6.52,223.06,Rice
22.8,73.8,17.7,16.72,19.11,5.64,98.7,Kidneybeans
112.6,36.4,22.7,24.81,78.31,7.35,79.8,Cotton
63.4,52.5,35.7,25.75,87.06,6.08,190.18,Rice
74.5,43.4,15.3,18.22,71.63,6.13,85.9,Maize
99.8,72.4,54.8,26.43,79.24,6.15,90.74,Banana
68.3,58.3,16.2,25.36,62.61,6.85,103.4,Maize
69.5,54.5,17.7,25.4,63.47,6.6,64.78,Maize
97.0,39.5,40.7,26.41,80.34,6.7,215.68,Rice
118.3,78.4,50.6,25.48,77.0,5.91,96.19,Banana
20.1,61.2,82.4,17.95,14.61,6.94,68.11,Chickpea
73.9,43.7,42.4,23.17,82.25,6.45,196.9,Rice
96.9,31.8,33.8,24.22,61.01,6.23,119.17,Coffee
81.4,40.4,15.1,20.17,74.52,6.76,107.98,Maize
107.6,94.4,50.3,29.53,75.83,5.69,103.22,Banana
74.3,42.0,40.4,20.99,88.02,6.07,298.43,Rice
36.1,61.7,78.7,19.69,18.0,8.18,73.63,Chickpea
95.1,33.5,30.4,24.35,64.05,6.79,199.02,Coffee
33.7,65.0,78.0,17.2,15.37,6.62,74.52,Chickpea
98.0,25.9,50.7,27.0,82.87,6.28,43.19,Watermelon
27.9,63.2,15.8,15.17,18.99,5.86,81.74,Kidneybeans
114.0,80.3,47.3,27.03,83.26,5.73,105.73,Banana
70.0,47.2,37.2,26.91,89.44,6.04,264.67,Rice
26.6,76.9,15.6,18.02,18.4,5.89,133.53,Kidneybeans
109.9,74.0,51.9,25.64,79.25,5.75,112.45,Banana
33.3,73.2,24.3,22.39,21.4,5.76,140.85,Kidneybeans
67.4,56.7,22.8,24.94,71.9,6.71,91.31,Maize
96.0,82.4,52.4,28.85,80.0,5.81,119.21,Banana
99.9,71.1,50.0,27.72,76.68,6.26,119.55,Banana
20.8,72.5,22.5,16.97,18.36,5.55,114.54,Kidneybeans
91.6,74.0,53.1,25.66,77.33,5.95,105.51,Banana
67.4,59.2,42.8,26.58,88.95,6.6,290.62,Rice
24.8,73.9,16.9,20.77,19.56,5.85,140.61,Kidneybeans
98.6,19.9,34.1,24.68,69.05,6.64,166.84,Coffee
32.2,75.7,82.6,18.72,19.74,6.48,63.28,Chickpea
28.8,78.3,79.0,17.26,17.7,6.23,70.36,Chickpea
129.8,58.0,19.2,23.37,84.62,6.89,84.45,Cotton
112.6,22.6,25.9,24.71,69.63,6.76,147.45,Coffee
86.5,39.6,16.7,18.89,68.21,6.72,73.25,Maize
103.1,33.2,30.5,23.87,57.57,7.01,167.98,Coffee
99.0,31.3,29.3,26.98,61.91,7.06,146.98,Coffee
105.3,81.9,47.7,25.15,81.05,5.9,98.96,Banana
98.7,6.3,45.4,26.15,85.38,6.51,44.86,Watermelon
22.0,63.5,18.8,22.21,20.35,5.8,71.29,Kidneybeans
86.3,28.7,30.9,26.77,56.19,6.54,146.49,Coffee
119.3,53.9,17.8,23.27,84.25,6.11,84.28,Cotton
108.6,28.4,54.1,26.84,82.45,6.13,46.05,Watermelon
96.0,75.3,51.9,26.1,79.39,6.28,113.52,Banana
42.1,77.1,77.0,18.76,18.21,7.87,72.24,Chickpea
17.0,68.9,17.6,18.09,23.01,5.87,76.72,Kidneybeans
112.9,26.4,49.2,24.27,84.38,6.23,45.82,Watermelon
71.0,37.0,15.9,26.05,58.84,6.19,71.33,Maize
102.8,6.3,46.4,25.87,82.08,6.5,50.9,Watermelon
73.0,44.2,19.0,24.26,62.77,6.34,71.88,Maize
82.4,56.9,39.0,20.94,80.29,6.76,254.44,Rice
73.6,53.1,35.7,22.21,85.39,6.79,218.25,Rice
23.1,73.3,20.6,18.08,18.81,5.54,134.84,Kidneybeans
133.8,44.9,15.5,23.61,81.74,6.9,97.45,Cotton
37.5,75.8,21.8,21.12,23.68,5.62,60.1,Kidneybeans
93.4,59.6,40.3,21.2,82.72,6.02,289.72,Rice
114.3,31.9,28.6,26.44,56.26,6.07,173.14,Coffee
26.6,56.0,75.4,17.53,19.2,6.72,88.51,Chickpea
92.6,23.2,53.7,26.82,88.05,6.85,51.01,Watermelon
29.1,76.1,16.4,20.23,21.03,5.56,116.16,Kidneybeans
101.6,16.5,25.2,23.51,58.21,7.12,167.37,Coffee
39.2,68.8,17.8,22.18,19.96,5.62,80.93,Kidneybeans
110.4,36.3,22.3,22.49,78.03,7.06,88.22,Cotton
46.7,70.1,83.3,19.95,15.73,8.69,71.68,Chickpea
23.8,55.4,82.7,19.42,14.72,6.67,60.53,Chickpea
75.0,58.8,42.3,24.19,81.56,6.16,186.97,Rice
40.8,58.4,78.0,18.08,18.83,6.71,66.32,Chickpea
113.1,84.9,48.4,26.31,76.22,6.01,107.56,Banana
33.8,76.1,20.2,16.26,22.03,5.75,126.8,Kidneybeans
113.8,24.2,27.2,23.67,69.07,6.09,127.92,Coffee
85.2,21.0,32.8,25.36,54.55,6.2,139.95,Coffee
79.5,54.3,21.8,22.01,60.47,7.0,81.31,Maize
30.8,65.0,22.1,18.85,20.66,5.76,144.27,Kidneybeans
66.2,52.9,41.6,20.19,82.22,6.23,260.63,Rice
82.1,24.6,53.5,26.4,85.08,6.23,56.91,Watermelon
15.3,74.3,22.1,20.6,23.94,5.62,90.6,Kidneybeans
88.5,57.4,40.1,23.72,81.07,6.45,243.91,Rice
118.0,91.7,47.3,28.89,81.09,6.47,101.21,Banana
79.2,50.0,17.9,24.25,72.2,6.74,61.98,Maize
111.2,24.3,47.3,26.77,85.93,6.38,50.04,Watermelon
83.3,28.2,50.8,26.0,89.12,6.35,52.43,Watermelon
79.5,37.7,20.5,22.09,71.89,5.92,84.41,Maize
85.1,49.6,44.0,20.32,82.81,6.95,286.83,Rice
97.9,54.1,36.4,26.08,84.87,6.89,275.98,Rice
47.5,68.3,76.6,19.09,18.76,6.82,85.72,Chickpea
118.2,76.5,53.5,29.32,82.73,5.67,114.65,Banana
34.2,56.1,76.4,17.83,19.83,6.86,74.46,Chickpea
86.5,17.2,52.4,26.6,86.26,6.67,42.53,Watermelon
37.1,73.2,17.1,22.77,23.32,5.58,126.37,Kidneybeans
106.7,55.9,20.5,22.76,82.2,7.02,90.22,Cotton
117.9,24.2,47.7,25.77,87.21,6.94,57.63,Watermelon
32.6,69.1,21.7,22.54,19.02,5.51,130.12,Kidneybeans
23.7,69.0,78.4,19.19,17.91,8.35,80.77,Chickpea
84.5,19.3,53.6,25.43,89.95,6.68,41.48,Watermelon
94.0,56.7,22.1,25.53,68.95,6.62,90.93,Maize
89.0,57.4,43.9,25.46,86.42,6.08,199.4,Rice
24.4,76.0,18.7,15.78,21.34,5.84,131.63,Kidneybeans
83.1,46.0,22.3,22.38,72.47,6.88,81.09,Maize
117.9,70.1,52.5,29.52,76.4,5.6,102.74,Banana
97.3,37.6,24.4,24.19,56.36,6.16,95.41,Maize
110.1,94.3,46.8,27.99,79.24,5.95,97.62,Banana
78.1,39.1,22.9,24.24,59.42,5.9,94.02,Maize
15.0,77.4,22.9,20.65,22.5,5.56,101.25,Kidneybeans
109.5,16.3,54.9,24.16,83.55,6.48,50.06,Watermelon
108.2,53.5,20.5,25.54,80.54,7.07,69.77,Cotton
29.9,78.6,24.3,18.08,21.17,5.58,149.61,Kidneybeans
76.7,58.3,43.7,20.32,80.26,6.38,277.27,Rice
82.9,27.7,54.6,24.23,85.32,6.3,47.86,Watermelon
29.4,71.3,20.0,15.62,18.54,5.74,90.69,Kidneybeans
99.7,58.2,20.4,25.58,65.42,6.55,64.46,Maize
75.2,56.6,20.2,22.31,55.51,6.21,79.01,Maize
99.4,18.5,53.2,24.52,88.08,6.69,51.12,Watermelon
77.0,35.6,37.7,23.79,86.33,6.26,196.72,Rice
109.8,93.8,52.3,25.26,83.84,6.36,103.3,Banana
136.5,50.3,20.5,23.0,78.43,7.7,87.96,Cotton
115.3,28.5,52.4,24.26,86.69,6.41,49.41,Watermelon
68.0,39.2,16.0,23.73,69.13,5.84,106.81,Maize
81.7,42.2,40.9,20.21,80.37,6.82,223.22,Rice
84.8,48.3,43.9,25.52,81.52,6.31,209.82,Rice
107.4,19.2,27.4,24.41,58.22,6.28,111.77,Coffee
24.4,71.0,15.5,18.84,22.99,5.82,80.19,Kidneybeans
137.3,35.5,16.5,25.54,79.59,7.13,93.15,Cotton
81.6,9.7,53.3,26.3,83.51,6.38,50.67,Watermelon
95.4,87.8,48.8,27.01,82.83,6.46,93.8,Banana
25.8,60.6,17.6,15.3,23.28,5.6,110.16,Kidneybeans
36.1,69.7,18.3,22.12,20.71,5.57,136.95,Kidneybeans
61.6,49.8,41.8,20.12,85.12,6.23,257.42,Rice
134.3,54.1,16.5,24.76,84.45,7.37,76.58,Cotton
120.4,56.5,23.7,22.04,82.78,6.92,109.44,Cotton
118.9,25.3,27.9,25.35,67.16,6.37,127.34,Coffee
99.0,16.2,45.1,26.46,83.6,6.54,53.55,Watermelon
21.5,56.8,79.0,17.89,15.39,6.71,84.1,Chickpea
113.2,23.3,27.6,27.34,63.39,6.54,153.91,Coffee
104.4,79.3,49.9,27.9,76.89,6.4,110.23,Banana
45.1,55.4,78.8,18.01,14.12,6.26,72.41,Chickpea
35.4,73.7,16.1,17.6,19.86,5.6,106.35,Kidneybeans
95.5,51.1,17.9,25.34,72.23,6.82,105.95,Maize
91.3,20.6,29.0,27.99,51.1,6.69,117.43,Coffee
111.3,5.5,48.3,25.88,82.75,6.91,52.68,Watermelon
37.7,70.3,81.4,17.73,18.28,6.17,65.98,Chickpea
48.7,68.2,77.4,18.5,18.08,6.12,68.24,Chickpea
114.5,58.5,17.8,23.33,82.01,7.53,106.47,Cotton
68.5,35.8,21.5,21.32,72.29,6.37,108.41,Maize
92.7,56.5,35.1,23.58,84.17,6.22,194.38,Rice
116.3,19.7,45.9,25.35,87.56,6.79,49.89,Watermelon
119.4,20.8,27.9,24.77,61.29,6.3,192.38,Coffee
24.7,64.8,15.9,17.83,18.58,5.57,148.86,Kidneybeans
95.5,43.8,36.2,21.0,87.62,6.62,192.13,Rice
89.8,40.1,24.6,21.31,61.54,5.98,75.28,Maize
106.3,86.3,48.9,28.24,75.45,5.55,103.72,Banana
77.6,38.7,18.3,21.91,56.77,6.06,89.91,Maize
116.7,31.0,29.5,26.59,61.72,6.59,127.31,Coffee
49.4,70.1,78.6,18.94,14.74,8.48,75.09,Chickpea
116.8,28.0,25.9,27.74,55.17,6.4,146.2,Coffee
89.5,27.2,45.1,24.6,89.59,6.61,45.23,Watermelon
100.1,24.1,32.5,23.66,60.94,6.66,118.05,Coffee
130.5,49.8,16.9,24.67,81.23,7.2,84.49,Cotton
95.0,27.5,26.5,27.12,54.7,6.78,146.47,Coffee
20.5,67.6,23.1,22.41,20.31,5.68,87.3,Kidneybeans
82.5,18.7,25.3,26.72,64.47,6.16,185.25,Coffee
92.8,32.4,33.8,24.75,51.67,6.87,138.04,Coffee
38.8,66.5,18.5,19.55,23.65,5.85,69.23,Kidneybeans
40.2,61.5,78.5,19.75,15.74,7.26,86.7,Chickpea
100.0,57.9,23.4,24.97,76.68,6.24,63.38,Cotton
113.1,29.2,53.9,25.8,85.3,6.03,44.93,Watermelon
119.7,15.2,47.9,25.67,83.04,6.09,40.03,Watermelon
48.9,57.2,81.9,18.48,16.33,7.73,81.12,Chickpea
22.1,78.5,80.1,18.23,18.87,8.32,69.97,Chickpea
99.5,38.8,40.9,22.67,89.7,6.84,280.6,Rice
104.8,73.0,45.1,26.52,81.98,6.29,98.87,Banana
105.6,19.7,32.1,27.37,52.54,7.04,163.42,Coffee
22.2,76.1,25.0,15.27,23.38,5.75,147.6,Kidneybeans
82.0,9.8,52.9,25.36,83.02,6.38,57.09,Watermelon
105.0,56.9,24.7,22.71,82.22,6.08,80.27,Cotton
87.9,58.1,42.1,21.07,85.76,6.61,230.9,Rice
29.1,63.1,82.1,19.45,15.09,6.98,87.06,Chickpea
121.7,37.2,15.6,22.42,80.86,7.09,71.69,Cotton
118.6,39.7,22.0,24.23,78.59,7.82,61.05,Cotton
79.4,50.5,38.7,23.24,87.47,6.04,210.29,Rice
98.1,91.4,48.5,29.87,84.8,5.77,91.23,Banana
23.9,61.0,15.3,18.81,18.51,5.74,139.29,Kidneybeans
111.5,25.2,28.0,23.76,55.69,6.45,178.07,Coffee
104.9,5.3,46.9,25.47,89.51,6.38,48.49,Watermelon
97.2,16.8,46.6,24.09,89.47,6.24,44.8,Watermelon
63.0,44.0,36.2,26.04,86.23,6.33,187.63,Rice
44.2,66.5,80.5,18.3,14.26,6.38,73.37,Chickpea
117.6,21.9,34.9,25.43,53.58,7.07,151.43,Coffee
38.4,78.3,21.4,20.67,20.42,5.8,107.82,Kidneybeans
65.1,48.1,42.7,21.51,86.23,6.09,186.2,Rice
71.5,50.4,24.8,23.69,60.2,6.56,87.0,Maize
41.9,79.2,77.2,18.99,18.45,8.36,72.68,Chickpea
17.0,79.9,16.6,23.9,23.86,5.82,119.35,Kidneybeans
89.0,55.4,17.1,22.55,71.81,6.68,87.11,Maize
103.2,29.8,31.8,24.03,57.05,6.15,121.69,Coffee
41.1,75.4,80.5,19.9,14.31,7.36,81.55,Chickpea
131.9,53.5,21.5,22.62,80.47,6.17,78.87,Cotton
16.3,61.1,21.9,19.12,19.36,5.75,82.76,Kidneybeans
104.9,80.5,49.1,26.16,76.36,5.7,91.66,Banana
117.4,58.0,18.5,22.22,77.04,6.84,70.98,Cotton
115.7,48.6,16.6,24.76,76.68,6.62,85.17,Cotton
107.7,72.2,49.3,25.87,84.87,6.06,110.62,Banana
113.9,84.8,46.0,27.74,82.03,6.29,108.87,Banana
115.8,29.3,53.6,24.33,89.47,6.42,40.19,Watermelon
106.5,15.9,53.2,26.72,81.2,6.53,45.69,Watermelon
60.5,58.9,22.4,21.18,60.93,6.22,98.73,Maize
40.1,72.0,78.6,18.78,14.06,7.74,87.4,Chickpea
70.0,45.3,42.6,21.6,80.77,6.29,199.35,Rice
94.7,18.1,53.1,25.09,85.24,6.67,45.39,Watermelon
27.1,67.8,76.0,18.15,16.93,7.79,88.52,Chickpea
138.8,44.4,15.6,23.36,80.06,6.32,92.91,Cotton
109.0,72.5,51.0,25.6,75.79,6.03,102.08,Banana
101.8,17.7,31.9,26.98,53.27,6.13,123.1,Coffee
69.1,40.3,21.1,21.7,71.8,6.88,77.67,Maize
65.0,52.1,19.3,19.8,64.83,5.88,89.1,Maize
69.7,37.9,41.1,22.02,85.81,6.15,237.74,Rice
25.7,71.9,25.0,21.93,20.39,5.83,75.36,Kidneybeans
99.4,41.1,41.7,25.33,82.38,6.73,224.13,Rice
42.9,64.7,80.1,18.48,17.46,8.41,89.42,Chickpea
120.6,37.5,15.2,25.85,78.77,7.21,63.99,Cotton
94.4,71.8,53.1,28.76,82.53,6.22,110.08,Banana
114.1,92.4,50.2,27.28,75.31,6.38,90.39,Banana
113.5,38.2,18.9,22.65,82.34,6.42,62.93,Cotton
111.1,8.3,51.0,24.1,84.98,6.15,43.66,Watermelon
44.7,76.4,84.2,18.29,15.91,7.59,71.14,Chickpea
32.1,56.7,82.8,17.86,16.6,7.89,69.97,Chickpea
83.6,29.0,53.1,25.38,82.24,6.93,46.89,Watermelon
97.1,36.5,24.3,21.16,57.03,6.38,72.84,Maize
80.3,36.0,16.5,26.88,74.3,5.81,107.59,Maize
109.8,9.2,46.9,25.38,82.86,6.25,52.9,Watermelon
116.3,9.8,51.2,25.22,80.41,6.35,45.3,Watermelon
81.5,49.7,42.5,23.02,81.28,6.28,223.57,Rice
106.6,13.5,54.4,26.74,82.09,6.04,54.83,Watermelon
63.0,48.8,44.7,23.66,86.29,6.7,234.54,Rice
113.5,19.3,26.2,27.26,53.13,7.17,185.83,Coffee
77.5,53.2,22.7,19.43,67.2,5.96,97.57,Maize
107.9,40.9,18.0,24.57,81.01,7.39,78.13,Cotton
79.0,51.7,36.7,21.35,80.41,6.17,213.43,Rice
22.0,68.0,76.8,19.91,14.68,7.07,82.14,Chickpea
112.9,27.9,31.5,23.64,63.0,7.18,192.06,Coffee
69.3,36.1,15.2,26.89,63.56,6.26,93.98,Maize
78.7,45.4,37.7,20.39,88.65,6.81,299.97,Rice
86.4,29.5,46.6,25.46,83.64,6.64,42.58,Watermelon
22.4,64.2,22.7,17.28,23.19,5.54,71.34,Kidneybeans
21.9,66.5,82.3,18.82,18.04,6.14,88.54,Chickpea
129.5,49.9,23.8,22.2,77.57,6.93,71.35,Cotton
81.1,53.3,15.8,18.54,59.94,5.99,103.59,Maize
67.5,43.9,22.8,22.99,55.1,6.71,61.77,Maize
70.5,44.0,15.9,26.43,66.08,6.17,79.85,Maize
16.0,68.2,16.3,15.2,20.16,5.81,110.96,Kidneybeans
109.9,80.2,47.8,28.66,77.42,5.67,105.9,Banana
39.5,79.3,19.0,21.56,20.07,5.77,132.49,Kidneybeans
73.4,55.1,35.0,22.33,83.98,6.54,290.38,Rice
121.9,45.1,20.2,25.99,76.35,7.35,79.8,Cotton
102.0,73.8,50.0,29.01,79.42,5.99,115.46,Banana
95.4,34.3,32.0,23.42,67.26,6.58,116.19,Coffee
25.2,66.6,19.5,21.86,18.76,5.58,145.63,Kidneybeans
121.9,46.9,24.2,22.29,77.81,6.7,99.12,Cotton
93.4,26.6,33.9,25.85,62.63,6.62,114.6,Coffee
105.8,8.8,54.3,25.15,87.3,6.02,44.1,Watermelon
99.4,33.0,34.1,23.44,68.73,6.99,181.22,Coffee
60.8,37.6,43.0,21.25,86.53,6.24,191.93,Rice
65.0,58.0,43.7,23.63,85.91,6.4,186.57,Rice
31.4,74.2,15.1,16.96,21.97,5.69,60.48,Kidneybeans
115.5,55.7,16.3,25.74,82.51,7.88,93.83,Cotton
102.7,24.1,46.4,24.69,88.82,6.02,55.05,Watermelon
90.2,37.6,44.0,23.54,88.26,6.32,287.46,Rice
124.5,57.4,23.1,24.33,82.3,6.73,92.05,Cotton
89.3,24.8,28.1,23.91,60.08,6.39,133.23,Coffee
113.0,12.6,49.0,24.95,84.67,6.29,59.23,Watermelon
120.2,42.8,19.3,24.58,82.45,6.46,80.27,Cotton
91.1,28.3,52.2,25.73,86.48,6.03,52.36,Watermelon
99.4,6.6,50.5,26.52,89.97,6.43,46.41,Watermelon
95.1,44.8,43.2,23.07,83.77,6.46,216.17,Rice
139.1,39.5,23.0,23.34,82.31,6.84,88.92,Cotton
33.5,69.6,81.2,17.22,18.1,6.6,81.42,Chickpea
83.6,47.7,18.0,23.09,68.78,6.85,91.81,Maize
138.6,44.8,16.3,24.69,82.29,7.15,70.34,Cotton
86.4,42.0,44.5,25.17,85.54,6.61,230.35,Rice
45.0,66.0,78.0,17.78,15.17,6.07,70.27,Chickpea
90.9,29.7,25.5,23.25,57.73,6.42,138.41,Coffee
65.3,52.9,24.1,19.62,59.75,6.97,69.05,Maize
74.0,58.2,43.3,26.76,81.24,6.73,292.6,Rice
83.7,36.2,41.1,21.19,80.65,6.95,295.88,Rice
125.8,44.5,15.5,24.4,84.02,6.77,70.82,Cotton
92.8,7.3,49.3,24.39,89.48,6.48,46.35,Watermelon
97.7,44.7,44.6,26.34,81.96,6.07,192.09,Rice
77.3,46.0,21.1,26.49,59.81,5.95,69.87,Maize
94.9,87.2,50.1,26.0,78.2,6.09,92.17,Banana
42.5,77.9,79.3,17.78,16.61,8.0,60.27,Chickpea
92.5,7.5,50.3,24.17,81.11,6.22,49.29,Watermelon
80.4,23.2,28.3,26.47,65.32,6.36,183.05,Coffee
87.0,28.0,27.5,26.59,65.54,6.81,165.3,Coffee
116.5,36.0,17.7,25.82,84.54,6.7,62.16,Cotton
46.5,65.7,76.6,17.04,17.36,7.43,81.58,Chickpea
38.0,72.6,81.9,18.12,15.0,7.15,64.28,Chickpea
99.7,26.5,27.4,26.97,59.73,6.4,119.61,Coffee
47.2,71.8,80.6,17.33,16.68,7.24,85.94,Chickpea
85.0,57.1,41.2,21.63,80.24,6.87,182.55,Rice
94.5,58.7,38.7,21.9,86.44,6.41,183.05,Rice
90.7,92.4,47.1,26.14,77.8,5.63,109.18,Banana
22.4,64.6,19.1,17.16,22.03,5.83,120.58,Kidneybeans
133.0,40.1,19.7,25.2,76.8,6.22,104.18,Cotton
134.9,39.2,15.5,24.87,79.75,7.7,79.17,Cotton
80.1,56.4,41.6,21.14,80.71,6.64,183.18,Rice
133.5,41.0,16.9,24.02,82.69,6.12,88.84,Cotton
118.9,22.2,29.8,24.78,63.65,6.79,174.38,Coffee
48.9,77.7,82.2,18.6,19.22,6.28,83.72,Chickpea
119.0,70.4,49.8,26.67,79.49,6.07,103.07,Banana
74.4,37.3,44.2,20.96,89.5,6.45,202.22,Rice
16.7,77.5,18.9,19.88,23.81,5.53,118.35,Kidneybeans
127.0,41.0,22.6,25.04,78.13,6.82,70.48,Cotton
27.8,65.9,80.9,17.22,17.73,8.75,65.7,Chickpea
102.4,88.3,51.9,29.17,77.5,6.11,107.56,Banana
118.2,11.0,48.2,24.55,85.77,6.15,47.12,Watermelon
43.8,55.9,80.8,19.99,19.13,7.41,61.91,Chickpea
73.5,58.6,38.2,23.63,87.03,6.36,296.61,Rice
119.7,43.3,16.1,25.81,75.6,6.6,74.9,Cotton
97.1,45.7,44.7,26.75,88.53,6.29,226.21,Rice
